guidance_weight,mol_stability,mae
0.5,0.8708333333333332,2.467496156692505
1.0,0.8541666666666666,2.4535566568374634
0.75,0.8791666666666665,2.3620418310165405
0.25,0.8541666666666665,2.556707262992859
2.0,0.8833333333333334,2.449934244155884
1.75,0.8375,2.3592475255330405
2.25,0.8624999999999998,2.297397017478943
1.25,0.8875000000000001,2.7961370944976807
1.5,0.8833333333333333,2.3914920886357627
2.75,0.9041666666666668,2.237442433834076
2.5,0.8500000000000001,2.218008498350779
3.0,0.8958333333333334,2.331204811731974
0.25,0.8653846153846155,2.5582524950687704
1.0,0.8701923076923077,2.472100079059601
0.75,0.8576923076923079,2.546103679216825
1.25,0.8663461538461538,2.5419221566273618
0.5,0.851923076923077,2.528183785768656
1.5,0.835576923076923,2.3660970513637247
1.75,0.8778846153846154,2.394935163167806
2.0,0.8538461538461539,2.349245208960313
2.25,0.8461538461538459,2.4613530452434835
2.5,0.8721153846153846,2.2367032078596263
3.0,0.8336538461538461,2.82953436099566
2.75,0.8759615384615385,2.391954963023846
0.25,0.8730769230769229,2.616467173282917
0.5,0.8562500000000001,2.6028990103648257
1.5,0.8629807692307693,2.4569826309497538
0.75,0.8608173076923078,2.516378274330726
1.25,0.8649038461538462,2.466250006969158
1.0,0.8641826923076924,2.444884845843682
1.75,0.8612980769230768,2.390881749299856
2.0,0.8634615384615383,2.41915579025562
2.25,0.8786057692307693,2.3641221706683817
3.0,0.869230769230769,2.326964717644912
2.5,0.8735576923076921,2.3945577832368703
2.75,0.862980769230769,2.396865285359896
